open,high,low,close,volume,adjusted_close,date,data_year
90.440002,93.440002,89.849998,92.959999,227566300.0,78.738477,2009-01-02,2009
92.629997,93.660004,91.889999,92.849998,240349700.0,78.645305,2009-01-05,2009
93.639999,94.449997,92.68,93.470001,328260900.0,79.170456,2009-01-06,2009
92.0,92.260002,90.199997,90.669998,280899200.0,76.798813,2009-01-07,2009
90.160004,91.089996,89.669998,91.040001,263834400.0,77.112211,2009-01-08,2009
91.160004,91.32,85.360001,89.089996,330953600.0,75.460528,2009-01-09,2009
88.839996,88.910004,86.410004,86.949997,277858500.0,73.647917,2009-01-12,2009
86.730003,87.879997,86.199997,87.110001,356432300.0,73.783443,2009-01-13,2009
85.540001,85.75,83.160004,84.370003,435491600.0,71.462625,2009-01-14,2009
84.120003,85.25,81.720001,84.400002,532647300.0,71.488034,2009-01-15,2009
85.860001,85.989998,83.050003,85.059998,399237200.0,72.04706,2009-01-16,2009
84.230003,85.059998,80.050003,80.57,419855200.0,68.243967,2009-01-20,2009
81.940002,84.239998,80.470001,84.050003,364360700.0,71.19158,2009-01-21,2009
82.419998,84.040001,81.169998,82.75,427940300.0,70.090459,2009-01-22,2009
80.900002,83.989998,80.57,83.110001,386800600.0,70.395384,2009-01-23,2009
83.589996,85.360001,82.809998,83.68,317978800.0,70.878182,2009-01-26,2009
84.129997,85.150002,83.300003,84.529999,273789700.0,71.598144,2009-01-27,2009
86.400002,87.949997,86.07,87.389999,330007e3,74.020606,2009-01-28,2009
86.110001,87.489998,84.470001,84.550003,294392500.0,71.615088,2009-01-29,2009
84.980003,85.400002,82.209999,82.830002,383383600.0,70.158221,2009-01-30,2009
81.57,83.18,81.309998,82.580002,288233300.0,69.946468,2009-02-02,2009
83.099998,84.360001,82.220001,83.739998,278385800.0,70.929001,2009-02-03,2009
84.300003,85.370003,83.040001,83.330002,322989300.0,70.581729,2009-02-04,2009
82.699997,85.290001,77.730003,84.57,417679400.0,71.632025,2009-02-05,2009
84.860001,87.339996,84.68,86.980003,366101700.0,73.673333,2009-02-06,2009
86.959999,87.739998,86.32,87.099998,240075200.0,73.774971,2009-02-09,2009
86.269997,87.029999,82.449997,83.110001,536212800.0,70.395384,2009-02-10,2009
83.449997,84.050003,82.400002,83.599998,324442500.0,70.81042,2009-02-11,2009
82.169998,83.82,81.050003,83.660004,469302200.0,70.861245,2009-02-12,2009
83.550003,84.239998,82.739998,82.760002,293998400.0,70.098931,2009-02-13,2009
80.160004,82.959999,79.169998,79.220001,478910100.0,67.100498,2009-02-17,2009
79.790001,79.940002,78.279999,79.029999,362964800.0,66.939563,2009-02-18,2009
79.839996,80.150002,78.019997,78.18,316867500.0,66.219602,2009-02-19,2009
76.730003,78.339996,75.769997,77.419998,477176600.0,65.575869,2009-02-20,2009
